"Acinar Cell Carcinoma of the Pancreas (JHU, J Pathol 2014)",paac_jhu_2014,23
"Acral Melanoma (TGEN, Genome Res 2017)",mel_tsam_liang_2017,38
"Acute Lymphoblastic Leukemia (St Jude, Nat Genet 2015)",all_stjude_2015,83
"Acute Lymphoblastic Leukemia (St Jude, Nat Genet 2016)",all_stjude_2016,73
"Acute Myeloid Leukemia (OHSU, Nature 2018)",aml_ohsu_2018,622
"Acute Myeloid Leukemia (TCGA, NEJM 2013)",laml_tcga_pub,200
"Acute Myeloid Leukemia (TCGA, PanCancer Atlas)",laml_tcga_pan_can_atlas_2018,200
"Acute Myeloid Leukemia (TCGA, Provisional)",laml_tcga,197
"Acute myeloid leukemia or myelodysplastic syndromes (WashU, 2016)",mnm_washu_2016,136
"Adenoid Cystic Carcinoma (FMI, Am J Surg Pathl. 2014)",acyc_fmi_2014,28
"Adenoid Cystic Carcinoma (JHU, Cancer Prev Res 2016)",acyc_jhu_2016,25
"Adenoid Cystic Carcinoma (MDA, Clin Cancer Res 2015)",acyc_mda_2015,65
"Adenoid Cystic Carcinoma (MGH, Nat Gen 2016)",acyc_mgh_2016,10
"Adenoid Cystic Carcinoma (MSKCC, Nat Genet 2013)",acyc_mskcc_2013,60
"Adenoid Cystic Carcinoma (Sanger/MDA, JCI 2013)",acyc_sanger_2013,24
"Adenoid Cystic Carcinoma of the Breast (MSKCC, J Pathol. 2015)",acc_2019,12
Adenoid Cystic Carcinoma Project (2019),acbc_mskcc_2015,1049
"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",acc_tcga_pan_can_atlas_2018,91
"Adrenocortical Carcinoma (TCGA, Provisional)",acc_tcga,90
"Adult Soft Tissue Sarcomas (TCGA, Cell 2017)",sarc_tcga_pub,206
"Ampullary Carcinoma (Baylor College of Medicine, Cell Reports 2016)",ampca_bcm_2016,160
"Anaplastic Oligodendroglioma and Anaplastic Oligoastrocytoma (MSKCC, Neuro Oncol 2017)",odg_msk_2017,22
"Basal Cell Carcinoma (UNIGE, Nat Genet 2016)",bcc_unige_2016,293
"Bladder Cancer (MSKCC, Eur Urol 2014)",blca_mskcc_solit_2014,109
"Bladder Cancer (MSKCC, J Clin Onco 2013)",blca_mskcc_solit_2012,97
"Bladder Cancer (MSKCC, Nat Genet 2016)",blca_plasmacytoid_mskcc_2016,34
"Bladder Cancer (TCGA, Cell 2017)",blca_tcga_pub_2017,412
"Bladder Urothelial Carcinoma (BGI, Nat Genet 2013)",blca_bgi,99
"Bladder Urothelial Carcinoma (DFCI/MSKCC, Cancer Discov 2014)",blca_dfarber_mskcc_2014,50
"Bladder Urothelial Carcinoma (TCGA, Nature 2014)",blca_tcga_pub,130
"Bladder Urothelial Carcinoma (TCGA, PanCancer Atlas)",blca_tcga_pan_can_atlas_2018,410
"Bladder Urothelial Carcinoma (TCGA, Provisional)",blca_tcga,238
"Brain Lower Grade Glioma (TCGA, PanCancer Atlas)",lgg_tcga_pan_can_atlas_2018,512
"Brain Lower Grade Glioma (TCGA, Provisional)",lgg_tcga,286
"Brain Tumor PDXs (Mayo Clinic, 2019)",gbm_mayo_pdx_sarkaria_2019,83
"Breast Cancer (METABRIC, Nature 2012 & Nat Commun 2016)",brca_metabric,2509
"Breast Cancer (MSK, Cancer Cell 2018)",breast_msk_2018,1918
"Breast Cancer (MSKCC, 2019)",brca_mskcc_2019,70
"Breast Cancer Xenografts (British Columbia, Nature 2015)",brca_bccrc_xenograft_2014,116
"Breast Fibroepithelial Tumors (Duke-NUS, Nat Genet 2015)",bfn_duke_nus_2015,22
"Breast Invasive Carcinoma (British Columbia, Nature 2012)",brca_bccrc,65
"Breast Invasive Carcinoma (Broad, Nature 2012)",brca_broad,103
"Breast Invasive Carcinoma (Sanger, Nature 2012)",brca_sanger,100
"Breast Invasive Carcinoma (TCGA, Cell 2015)",brca_tcga_pub2015,817
"Breast Invasive Carcinoma (TCGA, Nature 2012)",brca_tcga_pub,507
"Breast Invasive Carcinoma (TCGA, PanCancer Atlas)",brca_tcga_pan_can_atlas_2018,1066
"Breast Invasive Carcinoma (TCGA, Provisional)",brca_tcga,982
"Cancer Cell Line Encyclopedia (Broad, 2019)",ccle_broad_2019,1570
"Cancer Cell Line Encyclopedia (Novartis/Broad, Nature 2012)",cellline_ccle_broad,1020
"Cervical Squamous Cell Carcinoma (TCGA, PanCancer Atlas)",cesc_tcga_pan_can_atlas_2018,291
"Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA, Provisional)",cesc_tcga,194
"Cholangiocarcinoma (MSK, Clin Cancer Res 2018)",chol_msk_2018,195
"Cholangiocarcinoma (National Cancer Centre of Singapore, Nat Genet 2013)",chol_nccs_2013,15
"Cholangiocarcinoma (National University of Singapore, Nat Genet 2012)",chol_nus_2012,8
"Cholangiocarcinoma (TCGA, PanCancer Atlas)",chol_tcga_pan_can_atlas_2018,36
"Cholangiocarcinoma (TCGA, Provisional)",chol_tcga,35
"Chronic Lymphocytic Leukemia (Broad, Cell 2013)",lcll_broad_2013,160
"Chronic Lymphocytic Leukemia (Broad, Nature 2015)",cll_broad_2015,537
"Chronic lymphocytic leukemia (ICGC, Nature Genetics 2011)",cll_iuopa_2015,105
"Chronic Lymphocytic Leukemia (IUOPA, Nature 2015)",cllsll_icgc_2011,506
"Clear Cell Renal Cell Carcinoma (DFCI, Science 2019)",ccrcc_dfci_2019,35
"Colon Adenocarcinoma (CaseCCC, PNAS 2015)",coad_caseccc_2015,29
"Colon Cancer (CPTAC-2 Prospective, Cell 2019)",coad_cptac_2019,106
"Colorectal Adenocarcinoma (DFCI, Cell Reports 2016)",coadread_dfci_2016,619
"Colorectal Adenocarcinoma (Genentech, Nature 2012)",coadread_genentech,72
"Colorectal Adenocarcinoma (TCGA, Nature 2012)",coadread_tcga_pub,224
"Colorectal Adenocarcinoma (TCGA, PanCancer Atlas)",coadread_tcga_pan_can_atlas_2018,534
"Colorectal Adenocarcinoma (TCGA, Provisional)",coadread_tcga,223
"Colorectal Adenocarcinoma Triplets (MSKCC, Genome Biol 2014)",coadread_mskcc,138
"Cutaneous Squamous Cell Carcinoma (DFCI, Clin Cancer Res 2015)",cscc_dfarber_2015,29
"Cutaneous Squamous Cell Carcinoma (MD Anderson, Clin Cancer Res 2014)",cscc_hgsc_bcm_2014,39
"Cutaneous T Cell Lymphoma (Columbia U, Nat Genet 2015)",ctcl_columbia_2015,43
"Cystic Tumor of the Pancreas (Johns Hopkins, PNAS 2011)",pact_jhu_2011,32
"Desmoplastic Melanoma (Broad Institute, Nat Genet 2015)",desm_broad_2015,20
"Diffuse Large B cell Lymphoma (DFCI, Nat Med 2018)",dlbcl_dfci_2018,135
"Diffuse Large B-cell Lymphoma (BCGSC, Blood 2013)",dlbc_broad_2012,53
"Diffuse Large B-Cell Lymphoma (Broad, PNAS 2012)",dlbcl_duke_2017,58
"Diffuse Large B-Cell Lymphoma (Duke, Cell 2017)",dlbc_tcga_pan_can_atlas_2018,1001
"Diffuse Large B-Cell Lymphoma (TCGA, PanCancer Atlas)",nhl_bcgsc_2013,41
"Endometrial Cancer (MSK, 2018)",ucec_msk_2018,197
"Esophageal Adenocarcinoma (DFCI, Nat Genet 2013)",esca_broad,151
"Esophageal Adenocarcinoma (TCGA, PanCancer Atlas)",esca_tcga_pan_can_atlas_2018,182
"Esophageal Carcinoma (TCGA, Nature 2017)",stes_tcga_pub,518
"Esophageal Carcinoma (TCGA, Provisional)",esca_tcga,185
"Esophageal Squamous Cell Carcinoma (ICGC, Nature 2014)",escc_icgc,88
"Esophageal Squamous Cell Carcinoma (UCLA, Nat Genet 2014)",escc_ucla_2014,139
"Ewing Sarcoma (Institut Curie, Cancer Discov 2014)",es_iocurie_2014,112
"Gallbladder Cancer (MSK, Cancer 2018)",gbc_msk_2018,103
"Gallbladder Carcinoma (Shanghai, Nat Genet 2014)",gbc_shanghai_2014,32
"Gastric Adenocarcinoma (TMUCIH, PNAS 2015)",egc_tmucih_2015,78
"Germ Cell Tumors (MSKCC, J Clin Oncol 2016)",gct_msk_2016,180
"Glioblastoma (TCGA, Cell 2013)",gbm_tcga_pub2013,291
"Glioblastoma (TCGA, Nature 2008)",gbm_tcga_pub,83
"Glioblastoma Multiforme (TCGA, PanCancer Atlas)",gbm_tcga_pan_can_atlas_2018,397
"Glioblastoma Multiforme (TCGA, Provisional)",gbm_tcga,290
"Glioma (MSK, 2018)",glioma_msk_2018,91
"Head and Neck Squamous Cell Carcinoma (Broad, Science 2011)",hnsc_broad,74
"Head and Neck Squamous Cell Carcinoma (Johns Hopkins, Science 2011)",hnsc_jhu,32
"Head and Neck Squamous Cell Carcinoma (TCGA, Nature 2015)",hnsc_tcga_pub,279
"Head and Neck Squamous Cell Carcinoma (TCGA, PanCancer Atlas)",hnsc_tcga_pan_can_atlas_2018,515
"Head and Neck Squamous Cell Carcinoma (TCGA, Provisional)",hnsc_tcga,512
"Hepatocellular Adenoma (INSERM, Cancer Cell 2014)",liad_inserm_fr_2014,46
